id,price,minimum_nights,maximum_nights,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
4157,25.0,2,1125,strict_14_with_grace_period,0,0
4158,100.0,2,90,moderate,0,0
4159,60.0,1,1,moderate,0,0
4160,60.0,2,365,strict_14_with_grace_period,0,0
4161,200.0,1,60,strict_14_with_grace_period,0,0
4162,200.0,1,60,strict_14_with_grace_period,0,0
4163,50.0,2,31,moderate,0,0
4164,50.0,1,1125,strict_14_with_grace_period,0,0
4165,65.0,3,1125,moderate,0,0
4166,68.0,3,40,strict_14_with_grace_period,0,0
4167,164.0,2,365,moderate,0,0
4168,65.0,2,45,flexible,0,0
4169,25.0,1,1125,flexible,0,0
4170,140.0,3,1125,moderate,0,0
4171,55.0,2,1125,flexible,0,0
4172,77.0,2,1125,strict_14_with_grace_period,0,0
4173,47.0,1,1125,strict_14_with_grace_period,0,0
4174,38.0,1,1125,flexible,0,0
4175,78.0,3,1125,strict_14_with_grace_period,0,0
4176,94.0,2,730,strict_14_with_grace_period,0,0
4178,125.0,3,1125,flexible,0,0
4179,340.0,1,60,strict_14_with_grace_period,0,0
4180,200.0,1,60,strict_14_with_grace_period,0,0
4181,200.0,1,60,strict_14_with_grace_period,0,0
4182,200.0,1,60,strict_14_with_grace_period,0,0
4183,230.0,1,60,strict_14_with_grace_period,0,0
4184,250.0,1,60,strict_14_with_grace_period,0,0
4185,90.0,4,1125,moderate,0,0
4186,94.0,2,1125,moderate,0,0
4187,21.0,1,1125,flexible,0,0
4188,25.0,1,1125,flexible,0,0
4189,200.0,1,60,strict_14_with_grace_period,0,0
4190,200.0,1,60,strict_14_with_grace_period,0,0
4191,200.0,1,60,strict_14_with_grace_period,0,0
4192,200.0,1,60,strict_14_with_grace_period,0,0
4193,200.0,1,60,strict_14_with_grace_period,0,0
4194,200.0,1,60,strict_14_with_grace_period,0,0
4195,200.0,1,60,strict_14_with_grace_period,0,0
4196,200.0,1,60,strict_14_with_grace_period,0,0
4197,200.0,1,60,strict_14_with_grace_period,0,0
4198,200.0,1,60,strict_14_with_grace_period,0,0
4199,85.0,2,1125,flexible,0,0
4200,25.0,1,1125,moderate,0,0
4201,38.0,1,180,strict_14_with_grace_period,1,1
4202,38.0,1,1125,strict_14_with_grace_period,1,1
4203,185.0,2,1125,strict_14_with_grace_period,0,0
4204,30.0,1,30,strict_14_with_grace_period,0,0
4205,57.0,1,1124,strict_14_with_grace_period,0,0
4206,40.0,2,1125,flexible,0,0
4207,41.0,1,1125,strict_14_with_grace_period,0,0
4208,75.0,2,1125,moderate,0,0
4209,90.0,7,1125,moderate,0,0
4210,250.0,2,15,strict_14_with_grace_period,0,0
4211,44.0,2,15,moderate,0,0
4212,38.0,3,18,moderate,0,0
4213,40.0,3,1125,moderate,0,0
4214,79.0,2,1125,strict_14_with_grace_period,0,0
4215,36.0,2,1125,flexible,0,0
4216,105.0,2,60,strict_14_with_grace_period,0,0
4217,39.0,2,15,moderate,0,0
4218,120.0,5,8,flexible,0,0
4219,28.0,2,15,moderate,0,0
4220,24.0,2,15,moderate,0,0
4221,150.0,2,1125,strict_14_with_grace_period,0,0
4222,59.0,2,1125,strict_14_with_grace_period,0,0
4223,42.0,5,30,moderate,0,0
4224,55.0,2,1125,moderate,0,0
4225,30.0,1,7,moderate,0,0
4226,10.0,2,1125,strict_14_with_grace_period,0,0
4227,120.0,2,1125,strict_14_with_grace_period,0,0
4228,17.0,3,7,moderate,0,0
4229,380.0,2,30,strict_14_with_grace_period,0,0
4230,26.0,1,3,flexible,0,0
4231,150.0,2,14,moderate,0,0
4232,99.0,1,1124,moderate,0,0
4233,99.0,1,1124,moderate,0,0
4234,300.0,1,1125,strict_14_with_grace_period,0,0
4235,67.0,14,450,moderate,0,0
4236,50.0,2,8,flexible,0,0
4237,175.0,2,30,flexible,0,0
4238,145.0,2,364,strict_14_with_grace_period,0,0
4239,48.0,1,1125,flexible,0,0
4240,68.0,2,120,moderate,0,0
4241,34.0,3,15,strict_14_with_grace_period,0,0
4242,64.0,2,30,strict_14_with_grace_period,0,0
4243,45.0,1,1124,strict_14_with_grace_period,0,0
4244,100.0,3,1125,moderate,0,0
4245,35.0,1,1125,flexible,0,0
4246,130.0,3,1125,moderate,0,0
4247,25.0,1,1125,strict_14_with_grace_period,0,0
4248,27.0,2,1125,strict_14_with_grace_period,0,0
4249,25.0,1,1125,strict_14_with_grace_period,0,0
4250,50.0,3,1125,moderate,0,0
4251,29.0,2,30,moderate,0,0
4252,100.0,6,1125,strict_14_with_grace_period,0,0
4253,49.0,2,1125,moderate,0,0
4254,80.0,2,1125,strict_14_with_grace_period,0,0
4255,69.0,3,1125,moderate,0,0
4256,80.0,2,7,flexible,0,0
4257,75.0,3,1125,strict_14_with_grace_period,0,0
4258,149.0,1,1124,strict_14_with_grace_period,0,0
4259,99.0,1,1125,strict_14_with_grace_period,0,0
4260,55.0,3,1125,strict_14_with_grace_period,0,0
4261,45.0,1,1125,flexible,0,0
4262,18.0,2,8,strict_14_with_grace_period,0,0
4263,23.0,2,7,strict_14_with_grace_period,0,0
4264,119.0,2,1125,strict_14_with_grace_period,0,0
4265,55.0,1,90,strict_14_with_grace_period,0,0
4266,84.0,2,90,flexible,0,0
4267,68.0,1,3,flexible,0,0
4268,45.0,3,1124,strict_14_with_grace_period,0,0
4269,132.0,32,300,strict_14_with_grace_period,0,0
4270,65.0,7,200,strict_14_with_grace_period,0,0
4271,35.0,1,1125,strict_14_with_grace_period,0,0
4272,79.0,2,30,flexible,0,0
4273,99.0,1,1125,strict_14_with_grace_period,0,0
4274,52.0,1,1125,moderate,0,0
4275,65.0,3,90,strict_14_with_grace_period,0,0
4276,69.0,2,1125,strict_14_with_grace_period,0,0
4277,45.0,2,25,strict_14_with_grace_period,0,0
4278,40.0,1,1125,moderate,0,0
4279,129.0,2,1125,strict_14_with_grace_period,0,0
4280,69.0,2,1125,moderate,0,0
4281,65.0,2,1125,strict_14_with_grace_period,0,0
4282,55.0,1,1125,moderate,0,0
4283,44.0,1,1125,strict_14_with_grace_period,0,0
4284,100.0,2,16,moderate,0,0
4285,98.0,3,1125,moderate,0,0
4286,85.0,1,1125,moderate,0,0
4287,49.0,5,1125,flexible,0,0
4288,47.0,1,1125,strict_14_with_grace_period,0,0
4289,70.0,2,100,moderate,0,0
4290,35.0,1,14,strict_14_with_grace_period,0,0
4291,130.0,3,1125,strict_14_with_grace_period,0,0
4292,85.0,3,1125,flexible,0,0
4293,65.0,2,1124,moderate,0,0
4294,80.0,1,1125,flexible,0,0
4295,65.0,2,1125,flexible,0,0
4296,75.0,2,1125,strict_14_with_grace_period,0,0
4297,28.0,1,1125,flexible,0,0
4298,31.0,2,1125,strict_14_with_grace_period,0,0
4299,85.0,2,1125,strict_14_with_grace_period,0,0
4300,89.0,1,1125,flexible,0,0
4301,89.0,1,1125,flexible,0,0
4302,89.0,1,1125,flexible,0,0
4303,89.0,1,1125,flexible,0,0
4304,16.0,15,30,strict_14_with_grace_period,0,0
4305,89.0,1,1125,flexible,0,0
4306,89.0,1,1125,flexible,0,0
4307,89.0,1,1125,flexible,0,0
4308,89.0,1,1125,flexible,0,0
4309,22.0,1,80,strict_14_with_grace_period,0,0
4310,89.0,1,1125,flexible,0,0
4311,89.0,1,1125,flexible,0,0
4312,89.0,1,1125,flexible,0,0
4313,89.0,1,1125,flexible,0,0
4314,89.0,1,1125,flexible,0,0
4315,89.0,1,1125,flexible,0,0
4316,80.0,4,10,flexible,0,0
4317,89.0,1,1125,flexible,0,0
4318,89.0,1,1125,flexible,0,0
4319,103.0,3,1125,moderate,0,0
4320,99.0,4,1125,flexible,0,0
4321,89.0,2,1125,moderate,0,0
4322,70.0,3,14,flexible,0,0
4323,160.0,4,1125,flexible,0,0
4324,120.0,1,1125,strict_14_with_grace_period,0,0
4325,70.0,3,1125,strict_14_with_grace_period,0,0
4326,105.0,2,999,flexible,0,0
4327,67.0,3,1125,strict_14_with_grace_period,0,0
4328,107.0,3,60,moderate,0,0
4329,100.0,2,1125,strict_14_with_grace_period,0,0
4330,96.0,2,35,moderate,0,0
4331,200.0,3,1125,strict_14_with_grace_period,0,0
4332,103.0,2,300,flexible,0,0
4333,127.0,2,700,super_strict_60,0,0
4334,50.0,1,1125,flexible,0,0
4335,70.0,2,1125,flexible,0,0
4336,60.0,2,1124,moderate,0,0
4337,200.0,2,365,strict_14_with_grace_period,0,0
4338,20.0,1,1125,flexible,0,0
4339,80.0,11,330,strict_14_with_grace_period,0,0
4340,69.0,1,360,moderate,0,0
4341,30.0,2,1125,strict_14_with_grace_period,0,0
4342,80.0,2,1125,flexible,0,0
4343,45.0,3,1124,strict_14_with_grace_period,0,0
4344,65.0,2,1125,strict_14_with_grace_period,0,0
4345,67.0,2,1125,flexible,0,0
4346,65.0,2,999,flexible,0,0
4347,56.0,2,10,strict_14_with_grace_period,0,0
4348,30.0,7,1125,flexible,0,0
4349,33.0,2,1125,moderate,0,0
4350,50.0,2,1125,strict_14_with_grace_period,0,0
4351,55.0,5,1125,moderate,0,0
4352,70.0,3,1125,moderate,0,0
4353,29.0,2,500,strict_14_with_grace_period,0,0
4354,95.0,3,60,moderate,0,0
4355,59.0,3,1125,flexible,0,0
4356,52.0,3,1125,strict_14_with_grace_period,0,0
4357,79.0,3,1125,strict_14_with_grace_period,0,0
4358,70.0,1,365,strict_14_with_grace_period,0,0
4359,150.0,1,30,strict_14_with_grace_period,0,0
4360,65.0,1,365,moderate,0,0
4361,44.0,1,1125,moderate,0,0
4362,85.0,1,365,moderate,0,0
4363,19.0,1,1125,strict_14_with_grace_period,0,0
4364,36.0,1,6,moderate,0,0
4365,50.0,2,15,strict_14_with_grace_period,0,0
4366,23.0,1,1125,moderate,0,0
4367,18.0,2,15,strict_14_with_grace_period,0,0
4368,60.0,1,1125,strict_14_with_grace_period,0,0
4369,109.0,3,1125,strict_14_with_grace_period,0,0
4370,52.0,2,120,moderate,0,0
4371,18.0,3,1125,moderate,0,0
4372,25.0,1,1125,moderate,0,0
4373,23.0,1,1,flexible,0,0
4374,27.0,6,21,moderate,0,0
4375,25.0,2,1125,strict_14_with_grace_period,0,0
4376,50.0,2,1125,moderate,0,1
4377,309.0,2,28,moderate,0,0
4378,48.0,4,1125,strict_14_with_grace_period,0,0
4379,200.0,4,1125,flexible,0,0
4380,100.0,5,1125,strict_14_with_grace_period,0,0
4381,110.0,1,1125,strict_14_with_grace_period,0,0
4382,95.0,3,30,moderate,0,0
4383,60.0,7,1125,flexible,0,0
4384,98.0,30,1125,flexible,0,0
4385,71.0,1,1125,strict_14_with_grace_period,0,0
4386,75.0,2,30,moderate,0,0
4387,130.0,2,300,flexible,0,0
4388,140.0,3,1125,moderate,0,0
4389,80.0,2,1125,strict_14_with_grace_period,0,0
4390,39.0,2,1125,strict_14_with_grace_period,0,0
4391,48.0,3,90,strict_14_with_grace_period,0,0
4392,44.0,1,1125,strict_14_with_grace_period,0,0
4393,59.0,60,1125,moderate,0,0
4394,30.0,2,1125,flexible,0,0
4395,30.0,2,1125,moderate,0,0
4396,55.0,1,1125,moderate,0,0
4397,30.0,2,1125,flexible,0,0
4398,50.0,2,1125,flexible,0,0
4400,85.0,3,30,strict_14_with_grace_period,0,0
4401,80.0,2,7,moderate,0,0
4402,230.0,5,1125,strict_14_with_grace_period,0,0
4403,20.0,4,180,strict_14_with_grace_period,0,0
4404,50.0,3,30,moderate,0,0
4405,65.0,2,1125,strict_14_with_grace_period,0,0
4406,116.0,2,1125,moderate,0,0
4407,70.0,2,1125,flexible,1,1
4408,36.0,80,81,flexible,0,0
4409,35.0,2,500,strict_14_with_grace_period,0,0
4410,85.0,2,1125,moderate,0,0
4411,90.0,4,1125,moderate,0,0
4412,50.0,2,1125,strict_14_with_grace_period,0,0
4413,94.0,2,91,strict_14_with_grace_period,0,0
4414,80.0,2,1125,moderate,0,0
4415,49.0,2,14,strict_14_with_grace_period,0,0
4416,50.0,2,1125,strict_14_with_grace_period,0,0
4417,40.0,2,1125,strict_14_with_grace_period,0,0
4418,40.0,2,1125,strict_14_with_grace_period,0,0
4419,115.0,2,1124,flexible,0,0
4420,65.0,3,30,strict_14_with_grace_period,0,1
4421,70.0,2,1125,moderate,0,0
4422,120.0,2,1125,strict_14_with_grace_period,0,0
4423,18.0,2,10,strict_14_with_grace_period,0,0
4424,130.0,3,1125,flexible,0,0
4425,22.0,2,30,strict_14_with_grace_period,0,0
4426,70.0,4,1000,moderate,0,0
4427,40.0,1,1125,moderate,0,0
4428,20.0,2,7,moderate,0,0
4429,28.0,1,1125,flexible,0,0
4430,20.0,5,62,moderate,0,0
4431,150.0,2,365,strict_14_with_grace_period,0,0
4432,110.0,3,1125,moderate,0,0
4433,40.0,2,1125,strict_14_with_grace_period,0,0
4434,54.0,2,1125,strict_14_with_grace_period,0,0
4435,16.0,1,1125,moderate,0,0
4436,33.0,2,15,moderate,0,0
4437,54.0,5,1125,moderate,0,0
4438,90.0,2,50,strict_14_with_grace_period,0,0
4439,60.0,3,4,moderate,0,0
4440,90.0,1,1125,strict_14_with_grace_period,0,0
4441,65.0,2,1125,flexible,0,0
4442,50.0,3,30,flexible,0,0
4443,50.0,3,30,strict_14_with_grace_period,0,0
4444,65.0,7,1125,moderate,0,0
4445,55.0,3,1125,moderate,0,0
4446,39.0,2,9,strict_14_with_grace_period,0,0
4447,75.0,3,1125,strict_14_with_grace_period,0,0
4448,60.0,2,12,strict_14_with_grace_period,0,0
4449,96.0,1,999,strict_14_with_grace_period,0,0
4450,75.0,30,1125,moderate,0,0
4451,70.0,30,1125,moderate,0,0
4452,51.0,2,1125,strict_14_with_grace_period,0,0
4453,90.0,3,1125,moderate,0,0
4454,25.0,1,30,flexible,0,0
4455,100.0,1,14,strict_14_with_grace_period,0,0
4456,45.0,3,1125,moderate,0,0
4457,55.0,3,30,strict_14_with_grace_period,0,0
4458,79.0,2,1125,strict_14_with_grace_period,0,0
4459,19.0,2,1125,strict_14_with_grace_period,1,1
4460,80.0,1,1125,flexible,0,0
4461,32.0,1,1125,flexible,0,0
4462,35.0,15,90,strict_14_with_grace_period,0,0
4463,55.0,2,7,moderate,0,0
4464,20.0,4,60,strict_14_with_grace_period,0,0
4465,114.0,1,7,flexible,0,0
4466,45.0,2,1125,strict_14_with_grace_period,0,0
4467,30.0,3,10,flexible,0,0
4468,49.0,2,1125,moderate,0,0
4469,70.0,2,1125,moderate,0,0
4470,55.0,2,1125,flexible,0,0
4471,55.0,1,1125,moderate,0,0
4472,49.0,2,1124,strict_14_with_grace_period,1,1
4473,46.0,3,20,moderate,0,0
4474,49.0,1,1125,strict_14_with_grace_period,0,0
4475,19.0,178,1125,moderate,0,0
4476,160.0,1,1125,strict_14_with_grace_period,0,0
4477,100.0,3,1124,moderate,0,0
4478,80.0,2,1125,flexible,0,0
4479,35.0,2,1125,moderate,0,0
4480,90.0,1,1125,strict_14_with_grace_period,0,0
4481,60.0,3,1125,moderate,0,0
4482,120.0,1,900,strict_14_with_grace_period,0,0
4483,89.0,4,7,strict_14_with_grace_period,0,0
4484,50.0,3,1125,moderate,0,0
4485,310.0,5,1125,strict_14_with_grace_period,0,0
4486,50.0,3,1125,moderate,0,0
4487,86.0,1,1125,strict_14_with_grace_period,0,0
4488,117.0,4,1125,moderate,0,0
4489,62.0,90,650,moderate,0,0
4490,29.0,1,1125,flexible,0,0
4491,45.0,2,1125,flexible,0,0
4492,120.0,30,600,flexible,0,0
4493,75.0,3,1000,strict_14_with_grace_period,0,0
4494,60.0,2,90,moderate,0,0
4495,38.0,3,1125,moderate,0,0
4496,73.0,1,1125,strict_14_with_grace_period,0,0
4497,75.0,2,1125,strict_14_with_grace_period,0,0
4498,40.0,2,1125,strict_14_with_grace_period,0,0
4499,70.0,2,30,moderate,0,0
4500,130.0,1,30,moderate,0,0
4501,63.0,15,330,strict_14_with_grace_period,0,0
4502,63.0,15,330,strict_14_with_grace_period,0,0
4503,63.0,15,330,strict_14_with_grace_period,0,0
4504,63.0,15,330,strict_14_with_grace_period,0,0
4505,63.0,15,330,strict_14_with_grace_period,0,0
4506,46.0,1,1125,strict_14_with_grace_period,0,0
4507,105.0,4,150,flexible,0,0
4508,40.0,1,22,flexible,0,0
4509,45.0,2,1125,strict_14_with_grace_period,0,0
4510,50.0,2,1125,strict_14_with_grace_period,0,0
4511,100.0,1,1,flexible,0,0
4513,95.0,2,1125,moderate,0,0
4514,19.0,1,10,strict_14_with_grace_period,0,0
4515,115.0,2,1125,strict_14_with_grace_period,0,0
4516,200.0,1,365,moderate,0,0
4517,150.0,1,365,moderate,0,0
4518,85.0,20,1124,moderate,0,0
4519,108.0,1,1124,strict_14_with_grace_period,0,0
4520,50.0,7,1125,flexible,0,0
4521,70.0,2,1125,flexible,0,0
4522,8465.0,2,45,flexible,0,0
4523,56.0,3,1125,moderate,0,0
4524,45.0,1,1125,moderate,0,0
4525,32.0,2,31,flexible,0,0
4526,65.0,2,15,moderate,0,0
4527,115.0,3,1125,strict_14_with_grace_period,0,0
4528,200.0,3,30,strict_14_with_grace_period,0,0
4529,115.0,2,1125,strict_14_with_grace_period,0,0
4530,60.0,2,1125,moderate,0,0
4531,56.0,6,365,strict_14_with_grace_period,0,0
4532,52.0,1,1125,strict_14_with_grace_period,0,0
4533,85.0,2,1125,moderate,0,0
4534,92.0,2,1125,moderate,0,0
4535,115.0,2,14,moderate,0,0
4536,500.0,1,1125,strict_14_with_grace_period,0,0
4537,40.0,2,1124,strict_14_with_grace_period,0,0
4538,115.0,2,1125,strict_14_with_grace_period,0,0
4539,75.0,2,1125,strict_14_with_grace_period,0,0
4540,107.0,3,1125,strict_14_with_grace_period,0,0
4541,59.0,7,14,flexible,0,0
4542,57.0,1,1124,strict_14_with_grace_period,0,0
4543,41.0,1,7,flexible,0,0
4544,35.0,1,1125,strict_14_with_grace_period,0,0
4545,50.0,1,1125,strict_14_with_grace_period,0,0
4546,39.0,2,1125,strict_14_with_grace_period,0,0
4547,49.0,4,1100,strict_14_with_grace_period,0,0
4548,139.0,1,1124,strict_14_with_grace_period,0,0
4549,159.0,1,1125,strict_14_with_grace_period,0,0
4550,69.0,1,1125,flexible,0,0
4551,80.0,2,1125,moderate,0,0
4552,100.0,2,1125,flexible,0,0
4553,52.0,2,15,strict_14_with_grace_period,0,0
4554,15.0,2,5,flexible,0,0
4555,285.0,30,1125,strict_14_with_grace_period,0,0
4556,34.0,2,100,strict_14_with_grace_period,0,0
4557,50.0,3,1125,moderate,0,0
4558,120.0,2,1125,strict_14_with_grace_period,0,0
4559,45.0,2,1125,strict_14_with_grace_period,0,0
4560,123.0,2,30,flexible,0,0
4561,80.0,3,1125,moderate,0,0
4562,75.0,3,92,strict_14_with_grace_period,0,0
4563,80.0,4,1125,strict_14_with_grace_period,0,0
4564,42.0,2,1125,strict_14_with_grace_period,0,0
4565,85.0,2,1125,moderate,0,0
4566,24.0,2,5,flexible,0,0
4567,30.0,3,30,moderate,0,0
4568,19.0,2,60,strict_14_with_grace_period,0,0
4569,87.0,2,90,moderate,1,1
4570,72.0,3,1124,strict_14_with_grace_period,0,0
4571,85.0,4,1125,strict_14_with_grace_period,0,0
4572,51.0,2,15,moderate,0,0
4573,71.0,1,1125,strict_14_with_grace_period,0,0
4574,20.0,1,1125,flexible,0,0
4575,115.0,4,1120,strict_14_with_grace_period,0,0
4576,45.0,2,1125,strict_14_with_grace_period,0,0
4577,150.0,2,90,strict_14_with_grace_period,0,0
4578,33.0,1,1125,strict_14_with_grace_period,0,0
4579,25.0,2,10,moderate,0,0
4580,80.0,2,60,strict_14_with_grace_period,0,0
4581,21.0,1,1125,flexible,0,0
4582,65.0,1,1125,moderate,0,0
4583,80.0,3,1125,moderate,0,0
4584,22.0,1,60,moderate,0,0
4585,57.0,2,15,strict_14_with_grace_period,0,0
4586,55.0,2,1125,moderate,0,0
4587,250.0,2,60,strict_14_with_grace_period,0,0
4588,85.0,2,80,moderate,0,0
4589,52.0,6,1125,flexible,0,0
4590,85.0,2,89,moderate,0,0
4591,200.0,2,1125,strict_14_with_grace_period,0,0
4592,145.0,2,1125,strict_14_with_grace_period,0,0
4593,258.0,30,1125,strict_14_with_grace_period,0,0
4594,38.0,3,4,moderate,0,0
4595,60.0,4,24,moderate,0,0
4596,33.0,3,1125,strict_14_with_grace_period,0,0
4597,30.0,1,4,moderate,0,0
4598,68.0,2,1125,flexible,0,0
4599,77.0,1,1125,strict_14_with_grace_period,0,0
4600,27.0,2,15,strict_14_with_grace_period,0,0
4601,30.0,1,1125,flexible,0,0
4602,80.0,2,1125,strict_14_with_grace_period,0,0
4603,140.0,2,365,moderate,0,0
4604,283.0,1,1125,moderate,0,0
4606,75.0,2,1125,moderate,0,0
4607,36.0,2,12,moderate,0,0
4608,79.0,2,1125,moderate,0,0
4609,300.0,4,1124,strict_14_with_grace_period,0,0
4610,90.0,2,8,strict_14_with_grace_period,0,0
4611,63.0,2,1125,moderate,0,0
4612,200.0,4,30,flexible,0,0
4613,84.0,3,1125,strict_14_with_grace_period,0,0
4614,25.0,3,15,strict_14_with_grace_period,0,0
4615,90.0,4,1124,strict_14_with_grace_period,0,0
4616,35.0,2,1125,flexible,0,0
4617,60.0,1,1125,moderate,0,0
4618,110.0,3,1125,strict_14_with_grace_period,0,0
4619,54.0,3,120,moderate,0,0
4620,58.0,2,15,moderate,0,0
4621,30.0,3,90,moderate,0,0
4622,70.0,20,90,moderate,0,0
4623,70.0,2,1125,moderate,0,0
4624,30.0,2,6,moderate,0,0
4625,95.0,8,1125,strict_14_with_grace_period,0,0
4626,115.0,3,1125,flexible,0,0
4627,70.0,1,80,flexible,0,0
4628,130.0,10,1125,strict_14_with_grace_period,0,0
4629,57.0,2,15,moderate,0,0
4630,800.0,1,5,moderate,0,0
4631,59.0,2,1125,flexible,0,0
4632,60.0,15,1124,moderate,0,0
4633,33.0,1,1125,strict_14_with_grace_period,0,0
4634,91.0,7,1125,strict_14_with_grace_period,0,0
4635,170.0,5,1125,strict_14_with_grace_period,0,0
4636,20.0,3,1125,strict_14_with_grace_period,0,0
4637,40.0,3,1125,strict_14_with_grace_period,0,0
4638,33.0,2,1125,strict_14_with_grace_period,0,0
4639,250.0,1,1125,flexible,0,0
4640,139.0,3,60,strict_14_with_grace_period,0,0
4641,27.0,1,15,flexible,0,0
4642,20.0,1,1125,moderate,0,0
4643,75.0,2,1125,strict_14_with_grace_period,0,0
4644,25.0,3,1125,moderate,0,0
4645,85.0,3,1125,strict_14_with_grace_period,0,0
4646,139.0,3,60,moderate,0,0
4647,130.0,2,1125,strict_14_with_grace_period,0,0
4648,91.0,3,300,moderate,0,0
4649,30.0,2,1125,flexible,0,0
4650,38.0,3,90,strict_14_with_grace_period,0,0
4651,35.0,2,3,moderate,0,0
4652,55.0,2,1125,strict_14_with_grace_period,0,0
4653,33.0,2,10,strict_14_with_grace_period,0,0
4654,15.0,2,1125,moderate,0,0
4655,57.0,14,1124,moderate,0,0
4656,109.0,2,1125,strict_14_with_grace_period,0,0
4657,120.0,1,15,moderate,0,0
4658,80.0,1,1124,strict_14_with_grace_period,0,0
4659,70.0,3,365,moderate,0,0
4660,40.0,2,1125,strict_14_with_grace_period,0,0
4661,50.0,2,31,strict_14_with_grace_period,0,0
4662,40.0,2,90,strict_14_with_grace_period,0,0
4663,56.0,3,1125,flexible,0,0
4664,80.0,2,1125,moderate,0,0
4665,140.0,3,1125,moderate,0,0
4666,70.0,2,1125,strict_14_with_grace_period,0,0
4667,65.0,1,1124,strict_14_with_grace_period,0,0
4668,145.0,2,6,moderate,0,0
4669,80.0,3,12,moderate,0,0
4670,64.0,1,1125,strict_14_with_grace_period,0,0
4671,65.0,2,30,moderate,0,0
4672,89.0,1,1125,moderate,0,0
4673,129.0,6,1125,strict_14_with_grace_period,0,0
4674,122.0,5,30,strict_14_with_grace_period,0,0
4675,200.0,7,1125,strict_14_with_grace_period,0,0
4676,60.0,1,1125,moderate,0,0
4677,25.0,2,10,strict_14_with_grace_period,0,0
4678,21.0,2,1125,flexible,0,0
4679,129.0,3,1124,moderate,0,0
4680,75.0,1,1125,flexible,0,0
4681,117.0,1,1125,strict_14_with_grace_period,0,0
4682,45.0,2,180,strict_14_with_grace_period,0,0
4683,99.0,7,1125,strict_14_with_grace_period,0,0
4684,39.0,1,1125,flexible,0,0
4685,60.0,3,1125,moderate,0,0
4687,25.0,2,15,flexible,0,0
4688,25.0,2,8,strict_14_with_grace_period,0,0
4689,55.0,2,6,moderate,0,0
4690,80.0,3,1125,strict_14_with_grace_period,0,0
4691,24.0,2,15,flexible,0,0
4692,75.0,1,25,strict_14_with_grace_period,0,0
4693,50.0,3,1125,moderate,0,0
4694,78.0,2,1000,flexible,0,0
4695,85.0,2,15,flexible,0,0
4696,120.0,2,1125,strict_14_with_grace_period,0,0
4697,40.0,3,1125,moderate,0,0
4698,75.0,1,31,strict_14_with_grace_period,0,0
4699,65.0,1,1125,moderate,0,0
4700,150.0,1,1125,strict_14_with_grace_period,0,0
4701,60.0,2,1125,strict_14_with_grace_period,0,0
4702,101.0,2,1125,moderate,0,0
4703,110.0,1,1125,moderate,0,0
4704,80.0,3,1125,moderate,0,0
4705,38.0,2,60,strict_14_with_grace_period,0,0
4706,97.0,3,330,strict_14_with_grace_period,0,0
4707,45.0,2,500,strict_14_with_grace_period,0,0
4708,50.0,1,1125,strict_14_with_grace_period,0,0
4709,322.0,3,30,strict_14_with_grace_period,0,0
4710,170.0,2,1125,moderate,0,0
4711,75.0,2,28,strict_14_with_grace_period,0,0
4712,80.0,3,15,moderate,0,0
4713,65.0,5,600,strict_14_with_grace_period,0,0
4714,141.0,2,300,flexible,0,0
4715,28.0,1,1125,strict_14_with_grace_period,0,0
4716,200.0,1,1125,strict_14_with_grace_period,0,0
4717,62.0,2,1125,flexible,0,0
4718,80.0,3,27,strict_14_with_grace_period,0,0
4719,120.0,1,1125,strict_14_with_grace_period,0,0
4720,70.0,3,7,flexible,0,0
4721,100.0,90,1125,strict_14_with_grace_period,0,0
4722,60.0,2,1124,moderate,0,0
4723,150.0,2,31,strict_14_with_grace_period,0,0
4724,17.0,2,1125,flexible,0,0
4725,81.0,2,1125,moderate,0,0
4726,35.0,2,1125,flexible,0,0
4727,70.0,3,90,strict_14_with_grace_period,0,0
4728,100.0,3,1124,flexible,0,0
4729,73.0,1,1125,strict_14_with_grace_period,0,0
4730,85.0,2,1125,moderate,0,0
4731,21.0,1,1125,moderate,0,0
4732,130.0,5,120,strict_14_with_grace_period,1,1
4733,84.0,2,30,flexible,0,0
4734,210.0,3,1125,strict_14_with_grace_period,0,0
4735,25.0,3,1125,strict_14_with_grace_period,0,0
4736,76.0,7,60,flexible,0,0
4737,70.0,3,4,moderate,0,0
4738,29.0,2,7,moderate,0,0
4739,47.0,2,1125,moderate,0,0
4740,65.0,3,1125,flexible,0,0
4741,40.0,1,31,flexible,0,0
4742,90.0,1,30,moderate,0,0
4743,75.0,3,1125,strict_14_with_grace_period,0,0
4744,45.0,3,1125,flexible,0,0
4745,48.0,3,31,moderate,0,0
4746,30.0,15,30,strict_14_with_grace_period,0,0
4747,112.0,1,1125,moderate,0,0
4748,100.0,2,31,moderate,0,0
4749,45.0,2,1125,moderate,0,0
4750,34.0,2,7,flexible,0,0
4751,125.0,1,180,super_strict_60,0,0
4752,85.0,1,1125,moderate,0,0
4753,97.0,1,30,strict_14_with_grace_period,0,0
4754,70.0,1,1125,flexible,0,0
4755,25.0,1,12,flexible,0,0
4756,30.0,2,1125,flexible,0,0
4757,51.0,3,1125,strict_14_with_grace_period,0,0
4758,250.0,3,1125,strict_14_with_grace_period,0,0
4759,80.0,2,1125,strict_14_with_grace_period,0,0
4760,108.0,2,1125,strict_14_with_grace_period,0,0
