id,price,minimum_nights,maximum_nights,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
143,54.0,3,90,strict_14_with_grace_period,0,1
144,66.0,3,365,moderate,0,1
145,92.0,3,365,moderate,0,1
146,90.0,3,365,moderate,0,1
147,50.0,90,365,strict_14_with_grace_period,0,0
148,95.0,3,1124,strict_14_with_grace_period,0,0
149,85.0,5,365,flexible,0,1
150,24.0,3,180,flexible,0,0
151,56.0,2,150,strict_14_with_grace_period,0,0
152,155.0,3,60,strict_14_with_grace_period,1,1
153,48.0,2,15,moderate,0,0
154,66.0,3,365,moderate,0,1
155,75.0,2,30,moderate,0,0
156,38.0,1,1125,moderate,0,0
157,100.0,5,1125,strict_14_with_grace_period,0,0
158,40.0,7,1125,strict_14_with_grace_period,0,0
159,130.0,3,365,strict_14_with_grace_period,0,1
160,90.0,5,365,moderate,0,0
161,35.0,55,365,strict_14_with_grace_period,1,1
162,25.0,2,7,moderate,0,0
163,25.0,6,1125,moderate,0,0
164,70.0,1,1000,strict_14_with_grace_period,0,0
165,30.0,3,60,strict_14_with_grace_period,0,0
166,48.0,3,330,strict_14_with_grace_period,0,0
167,30.0,2,1125,strict_14_with_grace_period,0,0
168,81.0,3,365,moderate,0,1
169,90.0,3,365,flexible,0,1
170,112.0,2,1124,moderate,0,0
171,75.0,3,1125,moderate,0,0
172,85.0,3,30,strict_14_with_grace_period,1,1
173,95.0,2,90,moderate,1,1
174,59.0,4,60,strict_14_with_grace_period,0,0
175,85.0,3,365,flexible,0,1
176,83.0,2,365,moderate,0,0
177,85.0,3,365,moderate,0,1
178,82.0,4,1125,moderate,0,1
180,83.0,9,365,moderate,0,1
181,50.0,3,20,strict_14_with_grace_period,0,0
182,350.0,3,6,flexible,0,0
183,88.0,5,1125,flexible,0,1
184,60.0,1,7,flexible,0,0
185,85.0,1,1825,flexible,0,1
186,190.0,2,1125,moderate,0,0
187,69.0,2,1125,moderate,0,0
188,50.0,4,1125,moderate,0,0
189,60.0,1,365,strict_14_with_grace_period,0,0
190,97.0,4,1125,strict_14_with_grace_period,0,0
191,45.0,3,1125,strict_14_with_grace_period,0,0
192,52.0,1,15,flexible,0,0
193,84.0,3,1124,strict_14_with_grace_period,1,1
194,17.0,4,40,strict_14_with_grace_period,0,0
195,19.0,10,1000,strict_14_with_grace_period,1,1
196,65.0,3,1000,moderate,0,0
197,25.0,3,730,moderate,0,0
198,24.0,10,1000,strict_14_with_grace_period,1,1
199,40.0,2,18,moderate,0,0
200,85.0,2,1125,strict_14_with_grace_period,1,1
201,30.0,30,365,flexible,0,0
202,67.0,3,60,strict_14_with_grace_period,0,0
203,75.0,2,90,strict_14_with_grace_period,0,0
204,65.0,2,1125,strict_14_with_grace_period,1,1
205,19.0,2,1125,flexible,0,0
206,39.0,2,330,strict_14_with_grace_period,0,0
207,34.0,2,1125,moderate,0,1
208,62.0,2,365,moderate,0,0
209,24.0,1,180,moderate,0,0
210,40.0,120,1125,strict_14_with_grace_period,0,0
212,22.0,1,1125,moderate,0,0
213,56.0,2,60,moderate,1,0
215,23.0,2,365,moderate,0,0
216,100.0,1,1125,moderate,0,0
217,40.0,1,60,flexible,0,0
218,38.0,3,6,flexible,0,0
219,90.0,5,30,flexible,1,1
220,65.0,30,90,strict_14_with_grace_period,0,1
221,35.0,2,20,strict_14_with_grace_period,0,0
222,105.0,5,330,strict_14_with_grace_period,0,0
223,100.0,5,180,strict_14_with_grace_period,1,1
