id,neighbourhood,neighbourhood_group,latitude,longitude,dist_km_sol,dist_km_airport
92,Malasaña,Centro,40.42555,-3.71087,2.399453999999999,14.675612000000015
93,Centro,Centro,40.4176,-3.69808,2.114258,13.294174000000018
94,Aluche,Latina,40.41136,-3.72456,2.844555,16.609653000000005
95,Justicia,Centro,40.42283,-3.70064,2.214143,13.489150000000016
96,Centro,Centro,40.42203,-3.69898,2.676322,13.450357000000016
97,Centro,Centro,40.40774,-3.69928,2.5992930000000003,14.574743000000014
98,Centro,Centro,40.41472,-3.69533,2.102451,13.534568000000018
99,Embajadores,Centro,40.40779,-3.69614,2.6228070000000003,14.992018000000014
100,Centro,Centro,40.42248,-3.70891,1.5317560000000003,14.229819000000012
101,Centro,Centro,40.42579,-3.70526,2.058285,13.947477000000015
102,Aluche,Latina,40.39382,-3.75871,6.558678999999999,20.323776999999986
103,La Latina,Centro,40.4112,-3.70741,1.2875040000000002,14.723273000000017
104,Centro,Centro,40.41433,-3.70123,1.4721150000000005,13.83610800000002
105,Centro,Centro,40.41059,-3.7034,1.7005169999999998,14.727313000000017
106,Delicias,Arganzuela,40.39548,-3.69392,3.623795,15.487504000000012
107,Cortes,Centro,40.41393,-3.6979,1.940246,13.769866000000016
108,Justicia,Centro,40.42295,-3.69552,2.772588,13.061452000000015
109,Centro,Centro,40.41452,-3.70774,1.1104379999999998,14.608355000000014
110,Retiro,Retiro,40.4065,-3.67233,4.329465,12.827850000000014
111,Chamartín,Chamartín,40.44859,-3.67746,6.135037000000004,11.358650000000004
112,Centro,Centro,40.42836,-3.7056,2.1725159999999994,13.815997000000014
113,Centro,Centro,40.41281,-3.6956,2.186048,13.681242000000015
114,Aluche,Latina,40.40713,-3.73971,3.851072999999999,17.616170999999987
115,Centro,Centro,40.41321,-3.69743,2.057077,13.977797000000017
116,Centro,Centro,40.41047,-3.70207,1.869347,14.659019000000017
117,Centro,Centro,40.40872,-3.69919,2.521825,14.497275000000016
118,Chamartín,Chamartín,40.44931,-3.67424,6.460107000000003,11.101775000000004
119,Palos do Moguer,Arganzuela,40.40522,-3.69454,2.995402999999999,14.682288000000016
120,Centro,Centro,40.4144,-3.70126,1.4721150000000005,13.83610800000002
121,Centro,Centro,40.42371,-3.70393,2.10034,14.114865000000016
122,Centro,Centro,40.4238,-3.70467,1.89896,14.163111000000011
123,Centro,Centro,40.42359,-3.70396,2.10034,14.114865000000016
124,Tetuán,Tetuán,40.47293,-3.68945,7.729321000000003,12.058219000000005
125,Guindalera,Salamanca,40.4302,-3.66484,5.404248000000002,10.216915000000006
126,Centro,Centro,40.41935,-3.71162,1.590839,14.421420000000015
127,Malasaña,Centro,40.42723,-3.70959,2.398868999999999,14.189883000000012
128,Centro,Centro,40.42479,-3.70896,2.143811,14.457842000000015
129,Centro,Centro,40.42113,-3.70181,1.905568,13.797326000000016
130,Retiro,Retiro,40.40976,-3.67544,4.013311,12.688607000000012
131,Centro,Centro,40.4175,-3.70676,1.0112579999999998,14.447957000000011
132,Centro,Centro,40.41971,-3.71018,1.4727590000000002,14.303340000000016
133,Sol,Centro,40.41889,-3.70116,2.30562,13.575994000000016
134,Retiro,Retiro,40.40573,-3.67396,4.093693999999999,13.094555000000016
135,Justicia,Centro,40.42156,-3.69719,2.6976360000000006,13.280391000000018
136,Acacias,Arganzuela,40.40266,-3.70374,2.454028,15.475841000000012
137,Centro,Centro,40.41906,-3.70103,2.30562,13.575994000000016
138,Embajadores,Centro,40.40995,-3.6971,2.2750919999999994,14.250542000000015
139,Fuente del Berro,Salamanca,40.42258,-3.66275,5.292948000000002,11.168728000000009
140,Arganzuela,Arganzuela,40.40442,-3.69256,3.163785,14.689806000000017
141,Malasaña,Centro,40.42182,-3.70389,1.848181,14.02096400000002
142,Centro,Centro,40.41456,-3.70437,1.089479,14.840297000000016
143,Centro,Centro,40.4268,-3.71036,2.139367,14.415525000000011
144,Arganzuela,Arganzuela,40.40642,-3.6951,3.225615,14.538385000000016
145,Sol,Centro,40.41596,-3.70302,2.156118,13.919374000000015
146,Malasaña,Centro,40.42342,-3.70454,1.973728,14.146511000000013
147,Valdeacederas,Tetuán,40.46538,-3.69766,6.628643000000003,12.726831000000004
148,Centro,Centro,40.42435,-3.70831,2.15326,14.467291000000012
149,La Latina,Centro,40.41043,-3.70944,1.395171,14.830940000000016
150,Salamanca,Salamanca,40.42823,-3.67776,4.530633,11.26401300000001
151,Centro,Centro,40.41262,-3.69882,1.586234,13.93727200000002
152,Centro,Centro,40.41736,-3.70012,1.861553,13.487327000000016
153,Chamartín,Chamartín,40.45337,-3.67086,7.272837000000003,10.729211000000005
154,Centro,Centro,40.41282,-3.70749,1.099702,14.535471000000015
155,Embajadores,Centro,40.40781,-3.70245,2.081941,14.875542000000015
156,Centro,Centro,40.42602,-3.70502,2.058285,13.947477000000015
157,Centro,Centro,40.42638,-3.69957,2.568503,13.418932000000016
158,Tetuán,Tetuán,40.45483,-3.69994,5.408517000000001,13.068421000000006
159,Centro,Centro,40.42961,-3.70851,2.5499689999999995,13.985717000000015
160,Bellas Vistas,Tetuán,40.44798,-3.70589,4.642541,13.992755000000011
161,Argüelles,Moncloa - Aravaca,40.42934,-3.72229,2.9537150000000003,15.194416000000013
162,La Latina,Centro,40.41257,-3.70872,1.1925630000000005,14.628332000000016
163,Aluche,Latina,40.41155,-3.72371,2.46375,16.22884800000001
164,Malasaña,Centro,40.42353,-3.70308,2.1694539999999995,13.998700000000015
165,Chamberí,Chamberí,40.42897,-3.69711,3.151235,13.065219000000017
166,Trafalgar,Chamberí,40.42976,-3.70259,2.668024,13.475658000000012
167,Carabanchel,Carabanchel,40.3909,-3.71202,4.3838420000000005,17.532988999999986
168,Malasaña,Centro,40.42524,-3.70504,1.958206,14.172979000000014
169,Centro,Centro,40.41661,-3.70282,2.156118,13.919374000000015
170,Centro,Centro,40.40817,-3.7102,1.7598819999999995,15.195651000000016
171,Centro,Centro,40.41378,-3.71253,1.1095829999999998,14.874681000000017
172,Malasaña,Centro,40.42204,-3.70481,1.7880079999999998,13.960791000000016
173,Chamberí,Chamberí,40.42744,-3.695,3.2211839999999987,12.835885000000014
174,Justicia,Centro,40.42142,-3.70102,2.749798,13.603090000000014
175,Sol,Centro,40.41917,-3.70624,1.054372,14.491071000000014
176,Centro,Centro,40.40909,-3.70045,2.624897,14.600347000000015
177,Centro,Centro,40.42408,-3.7038,2.10034,14.114865000000016
178,Sol,Centro,40.41588,-3.702,2.156118,13.919374000000015
180,Centro,Centro,40.40671,-3.69777,2.471785,14.739972000000016
181,Centro,Centro,40.41961,-3.70965,1.5001800000000003,14.330761000000011
182,San Blas,San Blas - Canillejas,40.43004,-3.6038,11.386676999999995,6.667282999999999
183,Chamberí,Chamberí,40.43083,-3.70133,2.884981,13.565064000000014
184,Hortaleza,Hortaleza,40.4509,-3.61261,10.959190999999995,5.102655999999998
185,Trafalgar,Chamberí,40.42859,-3.69859,3.1789939999999994,13.092978000000013
186,Moncloa,Moncloa - Aravaca,40.42466,-3.71361,2.187486,15.073794000000015
187,Centro,Centro,40.4121,-3.70872,1.1925630000000005,14.628332000000016
188,La Latina,Centro,40.40659,-3.70684,2.103191,15.538960000000014
189,Jerónimos,Retiro,40.40745,-3.68286,3.268476,13.697837000000014
190,Embajadores,Centro,40.41256,-3.70116,1.5078260000000003,14.244149000000016
191,Centro,Centro,40.41159,-3.69356,2.2518169999999995,14.09227300000002
192,Ciudad Lineal,Ciudad Lineal,40.44164,-3.649,7.346916000000003,8.940599000000002
193,Centro,Centro,40.42306,-3.70524,1.973728,14.146511000000013
194,Aluche,Latina,40.40393,-3.74182,4.220898999999999,17.985996999999987
