id,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,days_since_last_review,days_since_first_review,number_of_reviews_en,number_of_reviews_es,number_of_reviews_otros
0,73,14,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0.61,28,3589,65.0,5.0,3.0
1,33,0,92.0,9.0,9.0,10.0,10.0,8.0,9.0,0.52,544,1918,17.0,12.0,4.0
2,0,0,,,,,,,,,-1,-1,,,
3,9,7,98.0,9.0,10.0,10.0,10.0,10.0,10.0,0.14,7,1868,6.0,2.0,1.0
4,67,15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.64,33,3144,37.0,23.0,7.0
5,142,21,94.0,10.0,10.0,10.0,10.0,10.0,10.0,1.21,40,3532,76.0,48.0,18.0
6,170,17,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1.47,46,3475,133.0,23.0,14.0
7,8,0,88.0,8.0,9.0,9.0,9.0,10.0,9.0,0.14,955,1704,4.0,3.0,1.0
8,162,12,93.0,9.0,9.0,9.0,10.0,10.0,9.0,1.41,161,3441,99.0,44.0,19.0
9,47,18,94.0,9.0,10.0,10.0,10.0,10.0,9.0,0.42,33,3357,24.0,21.0,2.0
10,17,3,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.17,97,3028,10.0,6.0,1.0
11,73,40,90.0,10.0,9.0,10.0,10.0,10.0,9.0,3.58,33,610,37.0,32.0,4.0
12,29,12,94.0,10.0,9.0,10.0,9.0,9.0,9.0,0.48,21,1821,6.0,19.0,4.0
13,96,24,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.89,8,3243,68.0,14.0,14.0
14,20,5,83.0,9.0,9.0,9.0,9.0,10.0,8.0,0.19,10,3174,12.0,6.0,2.0
15,5,2,80.0,8.0,8.0,10.0,9.0,10.0,8.0,0.06,14,2411,4.0,1.0,0.0
16,6,0,77.0,8.0,8.0,8.0,8.0,9.0,9.0,0.11,373,1657,3.0,3.0,0.0
17,106,29,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.98,9,3253,76.0,12.0,18.0
18,18,7,87.0,9.0,10.0,10.0,9.0,10.0,9.0,0.28,45,1935,12.0,4.0,2.0
19,5,3,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.16,159,909,3.0,2.0,0.0
20,55,10,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.59,16,2818,27.0,17.0,11.0
21,35,9,87.0,9.0,9.0,10.0,9.0,9.0,8.0,0.35,89,3022,27.0,8.0,0.0
22,108,0,96.0,9.0,10.0,10.0,10.0,10.0,9.0,1.02,772,3169,69.0,34.0,5.0
23,182,9,93.0,10.0,10.0,10.0,10.0,9.0,9.0,1.72,75,3170,149.0,23.0,10.0
24,148,31,97.0,10.0,9.0,10.0,10.0,10.0,9.0,1.42,26,3126,116.0,13.0,19.0
25,205,19,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1.97,4,3115,151.0,28.0,26.0
26,92,10,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.88,40,3146,65.0,15.0,12.0
27,630,79,89.0,10.0,9.0,10.0,10.0,10.0,9.0,5.96,1,3170,370.0,186.0,74.0
28,182,8,88.0,10.0,9.0,10.0,9.0,10.0,9.0,1.95,24,2797,91.0,72.0,19.0
29,3,0,93.0,10.0,9.0,10.0,9.0,9.0,9.0,0.07,1295,1326,1.0,2.0,0.0
30,61,12,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.8,9,2284,32.0,14.0,15.0
31,0,0,,,,,,,,,-1,-1,,,
32,8,0,86.0,8.0,10.0,9.0,9.0,9.0,9.0,0.08,920,3101,8.0,0.0,0.0
33,19,5,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.18,11,3107,17.0,1.0,1.0
34,30,4,91.0,9.0,9.0,10.0,10.0,10.0,9.0,0.71,8,1272,18.0,10.0,2.0
35,181,33,91.0,10.0,9.0,10.0,10.0,10.0,9.0,1.74,26,3115,86.0,68.0,27.0
36,9,7,98.0,10.0,9.0,10.0,10.0,9.0,10.0,0.59,34,453,4.0,4.0,1.0
37,108,11,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1.07,10,3021,54.0,41.0,13.0
38,72,5,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0.72,85,3006,56.0,10.0,6.0
39,193,38,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1.89,19,3064,112.0,65.0,16.0
40,218,8,91.0,9.0,9.0,9.0,9.0,10.0,9.0,2.07,155,3151,157.0,37.0,24.0
41,520,38,93.0,10.0,10.0,9.0,10.0,10.0,9.0,5.01,25,3114,381.0,88.0,51.0
42,80,33,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.9,8,2669,42.0,18.0,20.0
43,95,44,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,15,949,53.0,37.0,5.0
44,72,0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0.69,390,3109,44.0,21.0,7.0
45,24,10,99.0,10.0,10.0,9.0,10.0,10.0,10.0,0.54,96,1340,9.0,9.0,6.0
46,83,18,90.0,9.0,9.0,9.0,10.0,10.0,9.0,0.95,53,2627,44.0,21.0,18.0
47,8,1,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.08,299,3082,7.0,1.0,0.0
48,22,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.24,33,2739,10.0,8.0,4.0
49,65,4,81.0,8.0,7.0,9.0,9.0,10.0,8.0,0.63,24,3069,39.0,20.0,6.0
50,190,0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1.9,397,2996,124.0,30.0,36.0
51,10,6,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.1,33,3018,9.0,1.0,0.0
52,24,4,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.26,196,2769,14.0,8.0,2.0
53,11,1,90.0,9.0,9.0,9.0,9.0,10.0,9.0,0.11,188,3006,7.0,3.0,1.0
54,101,8,84.0,9.0,9.0,10.0,10.0,10.0,8.0,1.03,40,2940,52.0,33.0,16.0
55,6,0,72.0,8.0,7.0,8.0,8.0,9.0,8.0,0.07,864,2418,3.0,2.0,1.0
56,12,0,83.0,9.0,8.0,9.0,10.0,9.0,8.0,0.16,1321,2246,7.0,3.0,2.0
57,40,0,89.0,9.0,9.0,9.0,9.0,10.0,9.0,0.42,1203,2873,30.0,8.0,2.0
59,224,43,91.0,9.0,9.0,10.0,9.0,10.0,9.0,2.22,20,3022,177.0,24.0,23.0
60,269,56,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2.65,6,3049,216.0,31.0,22.0
61,24,2,89.0,9.0,9.0,9.0,9.0,10.0,9.0,0.43,141,1664,16.0,7.0,1.0
62,147,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.45,33,3046,110.0,13.0,24.0
63,0,0,,,,,,,,,-1,-1,,,
64,50,11,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.49,10,3046,30.0,15.0,5.0
65,98,3,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.97,93,3028,91.0,5.0,2.0
66,271,17,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.67,26,3042,160.0,86.0,25.0
67,7,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.08,98,2658,6.0,1.0,0.0
68,35,4,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.36,18,2928,24.0,7.0,4.0
69,179,27,90.0,9.0,9.0,10.0,10.0,9.0,9.0,1.78,28,3008,67.0,83.0,29.0
70,116,48,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.16,26,2992,67.0,36.0,13.0
71,163,29,94.0,9.0,10.0,10.0,10.0,10.0,9.0,1.63,25,3006,124.0,25.0,14.0
72,202,22,97.0,10.0,9.0,10.0,10.0,10.0,9.0,2.04,20,2973,173.0,8.0,21.0
73,182,35,87.0,9.0,9.0,10.0,9.0,10.0,9.0,1.82,26,3006,78.0,80.0,24.0
74,144,12,93.0,9.0,9.0,10.0,10.0,10.0,9.0,1.47,62,2930,115.0,21.0,8.0
75,58,12,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.66,71,2630,50.0,8.0,0.0
77,0,0,,,,,,,,,-1,-1,,,
78,77,1,88.0,9.0,8.0,9.0,9.0,8.0,9.0,0.77,154,3000,46.0,15.0,16.0
79,143,22,92.0,10.0,9.0,10.0,10.0,10.0,9.0,1.5,27,2852,99.0,26.0,18.0
80,49,4,93.0,9.0,9.0,10.0,10.0,9.0,9.0,0.5,4,2929,16.0,23.0,10.0
81,35,3,89.0,10.0,8.0,10.0,10.0,9.0,9.0,0.36,210,2880,25.0,6.0,4.0
82,131,25,93.0,10.0,10.0,10.0,10.0,9.0,10.0,1.4,25,2814,59.0,58.0,14.0
83,470,78,98.0,10.0,10.0,10.0,10.0,10.0,9.0,4.74,4,2975,372.0,66.0,32.0
84,104,25,95.0,10.0,10.0,10.0,10.0,9.0,10.0,1.15,27,2720,50.0,47.0,7.0
85,57,2,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0.59,277,2902,36.0,13.0,8.0
86,32,12,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.4,16,2377,19.0,11.0,2.0
87,93,23,92.0,10.0,10.0,9.0,9.0,10.0,9.0,2.3,6,1209,33.0,43.0,17.0
88,41,13,87.0,9.0,9.0,9.0,9.0,10.0,9.0,0.51,5,2422,19.0,16.0,6.0
89,66,9,91.0,10.0,9.0,10.0,10.0,10.0,9.0,0.7,15,2846,25.0,22.0,19.0
90,106,31,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.14,9,2789,75.0,26.0,5.0
91,29,9,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.54,21,1601,11.0,9.0,9.0
92,11,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.11,1889,2868,11.0,0.0,0.0
93,168,6,89.0,9.0,9.0,10.0,9.0,10.0,9.0,2.17,85,2317,104.0,48.0,16.0
94,33,1,84.0,9.0,8.0,9.0,9.0,9.0,8.0,0.35,264,2832,16.0,15.0,2.0
95,24,15,89.0,10.0,8.0,10.0,10.0,10.0,8.0,0.4,33,1779,10.0,10.0,4.0
96,55,9,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.57,78,2897,37.0,14.0,4.0
97,40,24,87.0,6.0,6.0,8.0,8.0,9.0,7.0,0.53,49,2283,36.0,4.0,0.0
98,43,7,87.0,9.0,9.0,9.0,9.0,10.0,8.0,0.88,33,1458,31.0,9.0,3.0
99,101,31,92.0,10.0,9.0,10.0,10.0,10.0,9.0,1.13,8,2679,43.0,35.0,23.0
100,311,38,93.0,9.0,9.0,10.0,10.0,10.0,9.0,3.21,11,2902,152.0,116.0,43.0
101,206,24,93.0,9.0,9.0,10.0,9.0,10.0,9.0,2.17,9,2846,140.0,21.0,45.0
102,15,4,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0.16,28,2804,5.0,7.0,3.0
103,28,1,88.0,10.0,9.0,9.0,9.0,9.0,9.0,0.39,313,2174,19.0,8.0,1.0
104,59,14,90.0,10.0,10.0,9.0,9.0,10.0,9.0,0.66,18,2689,32.0,16.0,11.0
105,235,43,92.0,9.0,9.0,10.0,10.0,9.0,9.0,2.59,9,2724,136.0,42.0,57.0
106,53,37,96.0,10.0,9.0,10.0,10.0,10.0,9.0,2.08,12,761,22.0,23.0,8.0
107,149,14,73.0,8.0,7.0,9.0,9.0,10.0,8.0,1.61,33,2783,90.0,39.0,20.0
108,43,4,92.0,9.0,8.0,10.0,10.0,10.0,9.0,0.45,40,2840,26.0,12.0,5.0
109,105,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.12,458,2804,84.0,5.0,16.0
110,173,36,88.0,9.0,8.0,10.0,10.0,9.0,9.0,1.93,45,2682,73.0,62.0,38.0
111,7,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.08,997,2604,6.0,1.0,0.0
112,124,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.31,132,2836,97.0,17.0,10.0
113,155,15,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.65,19,2818,107.0,32.0,16.0
114,126,62,90.0,9.0,9.0,10.0,10.0,10.0,9.0,2.69,5,1405,36.0,71.0,19.0
115,2,0,,10.0,8.0,8.0,8.0,10.0,8.0,0.02,2226,2760,2.0,0.0,0.0
116,166,5,94.0,9.0,9.0,9.0,10.0,10.0,9.0,1.74,9,2865,130.0,17.0,19.0
117,31,1,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.33,228,2782,24.0,6.0,1.0
118,55,6,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.73,68,2272,18.0,34.0,3.0
119,30,2,95.0,9.0,9.0,10.0,10.0,10.0,10.0,0.34,148,2637,23.0,4.0,3.0
120,109,25,87.0,9.0,9.0,10.0,9.0,10.0,9.0,1.17,5,2797,70.0,21.0,18.0
121,4,1,80.0,10.0,9.0,10.0,9.0,10.0,9.0,0.05,274,2415,3.0,0.0,1.0
122,4,1,87.0,10.0,10.0,10.0,10.0,9.0,9.0,0.06,274,1852,3.0,0.0,1.0
123,4,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05,391,2284,4.0,0.0,0.0
124,28,1,87.0,9.0,9.0,9.0,9.0,8.0,8.0,0.33,26,2513,14.0,9.0,5.0
125,42,1,90.0,9.0,10.0,9.0,9.0,9.0,9.0,0.45,125,2796,33.0,4.0,5.0
126,323,51,95.0,10.0,10.0,10.0,10.0,10.0,10.0,4.98,14,1943,164.0,98.0,61.0
127,131,16,91.0,9.0,9.0,10.0,10.0,10.0,9.0,2.48,41,1585,65.0,38.0,28.0
128,38,0,95.0,10.0,8.0,10.0,10.0,10.0,9.0,0.4,556,2833,28.0,5.0,5.0
129,29,0,80.0,8.0,8.0,9.0,9.0,10.0,8.0,0.31,373,2789,14.0,9.0,6.0
130,154,24,91.0,10.0,9.0,10.0,10.0,10.0,9.0,1.63,74,2833,67.0,65.0,22.0
131,389,79,90.0,9.0,9.0,10.0,10.0,10.0,9.0,4.12,11,2829,226.0,94.0,69.0
132,74,15,96.0,10.0,9.0,9.0,10.0,10.0,9.0,0.79,250,2800,52.0,14.0,8.0
133,11,1,73.0,7.0,8.0,8.0,7.0,9.0,8.0,0.16,208,2033,6.0,4.0,1.0
134,62,17,91.0,9.0,8.0,10.0,10.0,10.0,9.0,0.67,53,2789,24.0,30.0,8.0
135,95,1,87.0,9.0,9.0,10.0,10.0,10.0,9.0,1.17,7,2443,62.0,24.0,9.0
136,142,16,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1.58,41,2692,73.0,50.0,19.0
137,10,0,95.0,10.0,10.0,9.0,9.0,10.0,10.0,0.11,485,2776,7.0,3.0,0.0
138,17,3,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.23,140,2197,13.0,3.0,1.0
139,30,4,94.0,9.0,9.0,10.0,9.0,9.0,10.0,0.4,158,2261,22.0,5.0,3.0
140,28,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.3,544,2831,17.0,6.0,5.0
141,117,8,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.25,33,2797,66.0,42.0,9.0
142,35,7,84.0,9.0,9.0,9.0,9.0,10.0,8.0,0.43,38,2448,20.0,8.0,7.0
143,221,38,94.0,10.0,10.0,10.0,10.0,10.0,9.0,2.36,31,2813,165.0,30.0,26.0
144,35,11,85.0,9.0,9.0,9.0,9.0,10.0,8.0,0.41,60,2588,20.0,9.0,6.0
145,137,25,91.0,10.0,10.0,10.0,10.0,10.0,9.0,1.65,53,2488,87.0,30.0,20.0
146,46,15,85.0,9.0,9.0,9.0,9.0,10.0,8.0,0.77,40,1789,19.0,16.0,11.0
147,0,0,,,,,,,,,-1,-1,,,
148,1,0,80.0,8.0,8.0,8.0,8.0,10.0,8.0,0.02,1552,1552,0.0,1.0,0.0
149,11,1,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.16,200,2091,10.0,1.0,0.0
150,118,17,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.25,10,2821,52.0,53.0,13.0
151,383,3,88.0,9.0,9.0,9.0,9.0,10.0,9.0,4.06,293,2831,255.0,78.0,50.0
152,152,27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.62,8,2818,119.0,19.0,14.0
153,105,15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.13,7,2798,59.0,37.0,9.0
154,33,10,90.0,10.0,9.0,10.0,10.0,10.0,9.0,0.37,52,2641,24.0,4.0,5.0
155,153,1,93.0,9.0,9.0,10.0,10.0,9.0,9.0,1.62,228,2828,119.0,19.0,15.0
156,607,88,84.0,10.0,9.0,10.0,9.0,10.0,9.0,6.56,15,2776,269.0,256.0,82.0
157,2,0,,8.0,8.0,8.0,8.0,8.0,8.0,0.02,1952,2783,2.0,0.0,0.0
158,4,0,85.0,9.0,10.0,8.0,9.0,9.0,8.0,0.05,954,2264,1.0,2.0,1.0
159,180,19,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.96,32,2754,137.0,18.0,25.0
160,24,1,79.0,8.0,7.0,8.0,9.0,9.0,7.0,0.26,103,2783,10.0,8.0,6.0
161,101,5,96.0,10.0,9.0,10.0,10.0,10.0,10.0,1.09,71,2784,72.0,21.0,8.0
162,200,26,92.0,10.0,9.0,10.0,9.0,10.0,9.0,2.17,25,2759,130.0,52.0,18.0
163,8,0,85.0,9.0,8.0,9.0,8.0,9.0,8.0,0.1,436,2411,6.0,1.0,1.0
164,513,62,94.0,10.0,10.0,10.0,10.0,10.0,9.0,5.47,25,2811,314.0,111.0,88.0
165,7,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.08,2665,2725,7.0,0.0,0.0
166,277,42,97.0,10.0,10.0,10.0,10.0,10.0,9.0,2.98,19,2789,160.0,72.0,45.0
167,4,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.13,201,928,1.0,2.0,1.0
168,18,6,84.0,9.0,9.0,10.0,9.0,10.0,8.0,0.28,48,1897,5.0,7.0,6.0
169,36,13,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.55,26,1950,23.0,3.0,10.0
170,58,12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.62,8,2783,43.0,0.0,15.0
171,11,1,96.0,9.0,10.0,10.0,10.0,10.0,10.0,0.21,192,1543,8.0,2.0,1.0
172,60,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.65,626,2788,50.0,5.0,5.0
173,32,5,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.35,10,2749,18.0,12.0,2.0
174,259,48,92.0,9.0,9.0,9.0,10.0,10.0,9.0,2.79,25,2782,139.0,73.0,47.0
175,47,17,91.0,9.0,10.0,9.0,10.0,10.0,9.0,0.72,72,1957,30.0,14.0,3.0
176,38,0,94.0,9.0,9.0,10.0,10.0,9.0,9.0,0.41,439,2770,33.0,4.0,1.0
177,40,13,86.0,9.0,9.0,9.0,9.0,10.0,9.0,0.63,49,1891,29.0,7.0,4.0
178,19,1,86.0,9.0,9.0,10.0,9.0,9.0,8.0,0.21,187,2714,9.0,6.0,4.0
180,19,6,84.0,8.0,8.0,8.0,8.0,9.0,8.0,0.24,39,2369,10.0,7.0,2.0
181,24,6,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0.27,25,2657,12.0,3.0,9.0
182,14,0,85.0,8.0,8.0,10.0,10.0,9.0,9.0,0.15,1103,2791,3.0,8.0,3.0
183,8,1,83.0,9.0,8.0,10.0,10.0,10.0,7.0,0.12,285,1930,2.0,5.0,1.0
184,66,11,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.83,29,2398,37.0,24.0,5.0
185,338,51,83.0,9.0,9.0,9.0,8.0,10.0,8.0,3.67,32,2761,185.0,108.0,45.0
186,27,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.3,374,2734,20.0,4.0,3.0
187,209,44,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.35,6,2668,142.0,47.0,20.0
188,205,22,93.0,9.0,9.0,10.0,9.0,10.0,9.0,2.23,74,2759,133.0,35.0,37.0
189,201,35,94.0,10.0,9.0,10.0,10.0,10.0,10.0,2.25,0,2678,126.0,47.0,28.0
190,153,34,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.79,3,2562,74.0,37.0,42.0
191,80,15,96.0,9.0,10.0,10.0,10.0,10.0,10.0,1.78,47,1349,54.0,21.0,5.0
192,386,120,98.0,10.0,10.0,10.0,10.0,10.0,10.0,8.08,6,1431,151.0,190.0,45.0
193,22,5,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.24,185,2738,15.0,3.0,4.0
194,27,0,96.0,9.0,9.0,10.0,10.0,9.0,10.0,0.31,532,2613,15.0,8.0,4.0
195,22,3,98.0,10.0,9.0,10.0,10.0,9.0,10.0,0.25,59,2628,10.0,10.0,2.0
196,122,25,86.0,9.0,9.0,9.0,9.0,10.0,8.0,2.55,12,1432,50.0,47.0,25.0
197,34,1,75.0,8.0,7.0,9.0,9.0,10.0,8.0,0.38,245,2670,16.0,15.0,3.0
198,18,5,96.0,10.0,10.0,10.0,10.0,8.0,9.0,0.21,10,2529,6.0,11.0,1.0
199,8,0,85.0,10.0,8.0,10.0,10.0,9.0,9.0,0.11,560,2091,4.0,2.0,2.0
200,58,0,94.0,10.0,10.0,10.0,10.0,9.0,9.0,0.68,544,2575,32.0,12.0,14.0
201,0,0,,,,,,,,,-1,-1,,,
202,110,24,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1.23,19,2684,73.0,17.0,20.0
203,87,23,94.0,10.0,9.0,9.0,10.0,10.0,9.0,1.34,26,1942,34.0,36.0,17.0
204,368,70,98.0,10.0,10.0,10.0,10.0,10.0,10.0,4.15,8,2657,256.0,39.0,73.0
205,1,0,86.0,10.0,8.0,8.0,8.0,8.0,8.0,0.01,2715,2715,1.0,0.0,0.0
206,482,71,95.0,10.0,10.0,10.0,10.0,10.0,10.0,5.23,16,2764,264.0,142.0,76.0
207,508,77,98.0,10.0,10.0,10.0,10.0,10.0,10.0,5.72,3,2664,387.0,74.0,47.0
208,490,84,88.0,9.0,10.0,10.0,10.0,10.0,10.0,5.37,16,2737,356.0,91.0,43.0
209,390,59,90.0,9.0,9.0,10.0,9.0,10.0,9.0,4.27,35,2738,268.0,97.0,25.0
210,0,0,,,,,,,,,-1,-1,,,
212,17,8,96.0,10.0,9.0,10.0,10.0,10.0,9.0,0.19,9,2723,5.0,10.0,2.0
213,238,33,90.0,9.0,9.0,10.0,10.0,10.0,9.0,2.6,17,2746,145.0,47.0,46.0
215,34,0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0.42,474,2407,14.0,16.0,4.0
216,15,9,78.0,9.0,8.0,10.0,10.0,10.0,8.0,0.79,121,565,6.0,8.0,1.0
217,4,0,60.0,7.0,4.0,7.0,8.0,8.0,7.0,0.05,1655,2210,2.0,1.0,1.0
218,60,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.69,558,2623,34.0,19.0,7.0
219,141,19,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.6,47,2634,78.0,43.0,20.0
220,216,14,96.0,10.0,9.0,10.0,9.0,9.0,9.0,2.39,221,2710,150.0,35.0,31.0
221,254,53,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.77,6,2744,145.0,62.0,47.0
222,73,22,93.0,10.0,10.0,10.0,10.0,10.0,9.0,0.96,20,2288,25.0,33.0,15.0
223,23,4,92.0,9.0,10.0,9.0,9.0,10.0,9.0,0.3,133,2281,9.0,10.0,4.0
224,8,0,95.0,9.0,8.0,9.0,9.0,9.0,9.0,0.1,1755,2490,3.0,3.0,2.0
225,165,13,86.0,9.0,10.0,10.0,10.0,10.0,9.0,2.46,19,2013,67.0,75.0,23.0
226,30,0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.33,2138,2691,26.0,2.0,2.0
227,195,8,98.0,10.0,10.0,10.0,10.0,9.0,10.0,2.27,309,2576,100.0,57.0,38.0
228,29,2,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0.33,28,2656,13.0,14.0,2.0
229,0,0,,,,,,,,,-1,-1,,,
230,387,87,94.0,10.0,10.0,10.0,10.0,10.0,10.0,4.38,19,2648,190.0,160.0,37.0
231,330,48,94.0,10.0,9.0,10.0,10.0,10.0,10.0,3.64,2,2719,230.0,62.0,38.0
232,102,0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,1.16,371,2645,48.0,38.0,16.0
233,249,75,87.0,9.0,9.0,9.0,10.0,10.0,9.0,5.8,16,1285,122.0,58.0,69.0
234,342,70,92.0,9.0,10.0,10.0,9.0,10.0,9.0,3.77,21,2718,227.0,49.0,66.0
235,30,0,80.0,8.0,8.0,9.0,9.0,9.0,8.0,0.4,1240,2272,21.0,7.0,2.0
236,5,0,90.0,10.0,9.0,10.0,10.0,10.0,9.0,0.07,2062,2258,3.0,1.0,1.0
237,55,10,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.85,100,1928,39.0,5.0,11.0
238,57,9,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0.64,46,2674,30.0,21.0,6.0
239,394,59,94.0,10.0,10.0,10.0,9.0,10.0,9.0,4.45,26,2655,264.0,63.0,67.0
240,19,2,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.21,198,2712,15.0,4.0,0.0
241,75,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95,31,2371,51.0,11.0,13.0
242,7,0,91.0,8.0,10.0,10.0,10.0,10.0,9.0,0.08,766,2657,5.0,2.0,0.0
243,395,70,85.0,9.0,9.0,10.0,10.0,10.0,8.0,4.37,19,2708,203.0,92.0,100.0
244,475,67,97.0,10.0,9.0,10.0,10.0,10.0,9.0,5.32,6,2676,259.0,143.0,73.0
245,2,0,90.0,10.0,9.0,10.0,9.0,9.0,9.0,0.03,2304,2386,1.0,1.0,0.0
246,55,10,84.0,8.0,8.0,9.0,9.0,9.0,9.0,0.73,36,2247,28.0,23.0,4.0
247,40,14,85.0,9.0,9.0,9.0,9.0,9.0,8.0,0.71,33,1691,17.0,22.0,1.0
248,161,36,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.8,4,2680,93.0,53.0,15.0
249,11,0,96.0,9.0,9.0,10.0,10.0,9.0,9.0,0.13,1984,2638,5.0,6.0,0.0
250,19,18,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1.43,48,397,7.0,10.0,2.0
251,3,0,,4.0,2.0,10.0,10.0,4.0,4.0,0.04,2090,2563,1.0,2.0,0.0
252,434,63,95.0,10.0,10.0,10.0,10.0,10.0,9.0,4.8,6,2713,296.0,62.0,76.0
253,7,0,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0.08,1607,2687,4.0,2.0,1.0
254,74,0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0.83,478,2658,41.0,29.0,4.0
255,98,8,86.0,9.0,9.0,9.0,9.0,8.0,8.0,1.1,72,2678,28.0,56.0,14.0
256,286,54,96.0,9.0,10.0,9.0,10.0,10.0,9.0,3.21,2,2671,168.0,58.0,60.0
257,25,0,93.0,9.0,10.0,10.0,10.0,9.0,9.0,0.32,1103,2363,9.0,13.0,3.0
258,4,0,95.0,10.0,8.0,10.0,10.0,10.0,10.0,0.13,383,957,1.0,3.0,0.0
259,69,14,94.0,9.0,9.0,9.0,10.0,10.0,9.0,0.77,14,2685,34.0,22.0,13.0
260,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.01,2674,2674,1.0,0.0,0.0
